herd,vonschaf,derschafen,,,,,,,
vererbt,baugewerbebürgerrechte,bauwesenrechte,gebäude,,,,,,
fragen,nagging,naggingfragen,nagging,nagging,nagging,nagging,nagging,nagging,nagging
nägel,pflege,betreuungsalon,,,,,,,
naiv,derlage,diesituation,den,das,der,die,das,,
namenlosen,schriftsteller,namenlosenautor,autorin,autoren,,,,,
erzählung,erzählung,erzählungendiskurs,,,,,,,
schmal,engcircle,schmalenkreis,engefreundeskreis,engenzirkel,schmal,,,,
national,nationalefluglinien,nationalerfluggesellschaften,nationalfluglinie,airline,,,,,
national,nationalenationalhymne,nationalerhymne,national,,,,,,
natürliche,natürlicheskrisen,natürlichenkrise,natürlichekrisenmanagement,,,,,,
natürliche,sprachenbearbeitung,amtsspracheweiterverarbeitung,aufbereitung,veredelung,,,,,
naval,airforce,airforce,airforce,airforce,airforce,airforce,airforce,airforce,airforce
navigationssystem,navigierensatellit,schiffahrtsatellite,schifffahrtsatelliten,navigationssystem,,,,,
spezifikationen,near-vision,near-visionspezifikationen,near-vision,near-vision,near-vision,near-vision,near-vision,near-vision,near-vision
nähe,näheortschaft,nahestadt,,,,,,,
näher,deruhrzeit,diezeit,denzeitraum,daszeitpunkt,der,die,das,,
ordentlich,puranmerkung,gepflegtesbemerkungen,,,,,,,
nötig,genügendvoraussetzung,hinreichendbedingung,ausreichendkondition,ausreichenden,,,,,
nacken,unentschiedenlappen,krawattetuch,tie,,,,,,
brauch,eineentscheidung,einbeschluss,einem,ein,eine,,,,
negativ,negativesartikel,negativenartikel,negative,negativ,,,,,
nachlässig,investitionrat,kapitalanlagenberatung,investitionskosten,,,,,,
verhandeln,verhandlungenausschüsse,verhandlungausschuss,komitee,,,,,,
nachbarstaaten,benachbarteferienwohnung,benachbartenferienwohnungen,,,,,,,
neon,schlauch,neontube,,,,,,,
netto,netzvermögen,netvermögenswerte,,,,,,,
netz,zugangsteuerung,zufahrtcontrol,zutrittkontrolle,,,,,,
netzwerke,lokalengemeinde,lokalegemeinschaften,lokales,,,,,,
neural,neuralrohrstreckennetz,fürnetzwerk,neuralnetz,,,,,,
neues,autoflotte,mietwagenfuhrpark,pkw,autovermietung,,,,,
zeitung,tageszeitungsäulen,zeitungenspalten,stützen,,,,,,
eine,minute'sruhe,minute'sstille,minute'sschweigen,minute's,minute's,minute's,minute's,minute's,minute's
eine,wegstrasse,weisestrassen,straße,straßen,,,,,
online,"datenschutzentry	","angabenentry	","entry	","entry	","entry	","entry	","entry	","entry	","entry	"
nur,einzigheute,einzigeheutige,einzigen,nur,,,,,
quad,kabelfernsehen,quadkabel,seilbahn,,,,,,
quadranten,,quadrantenteiler,,,,,,,
vierfache,zimmer,vierfacheraum,,,,,,,
qualifiziert,qualifizierten,qualifizierterelektriker,qualifiziert,,,,,,
eitelkeit,eitelkeitrückspiegel,eitelspiegelbild,spiegel,mirror,,,,,
wasserdampf,wasserdampfdichte,dampfbevölkerungsdichte,,,,,,,
van,waalsgewalt,waalserzwingen,waalsforce,waals,waals,waals,waals,waals,waals
vanille,bean,vanillebohnen,,,,,,,
unverarbeitet,material,unverarbeitetmaterialien,werkstoff,,,,,,
überflüssig,unnötigenunkosten,unnötigekosten,überflüssigaufwand,,,,,,
überflüssig,lazarettbett,krankenhäuserbetten,spital,,,,,,
bergauf,kampf,bergaufbattle,gefecht,,,,,,
charakter,upper-casezeichen,upper-casefigur,upper-case,upper-case,upper-case,upper-case,upper-case,upper-case,upper-case
baumwolle,abfällespinnen,abfallspinnerei,,,,,,,
council,councilvorstand,ratverwaltungsrat,verpflegung,aufsichtsrat,,,,,
counter-example,counter-example,counter-example,counter-example,counter-example,counter-example,counter-example,counter-example,counter-example,counter-example
anleihe,anleihenkundendienst,kreditaufnahmekunden,kundenservice,,,,,,
botanik,botanischergarten,botanischengartenanlage,botanik,,,,,,
flasche,fläschchengarten,flaschengartenanlage,,,,,,,
unterseite,derozeane,dieozean,den,das,der,die,das,,
